,source-name,source-disease-id,target-name,target-disease-id
0,"SymMapv1,v2",1,OMIM,213600|616413|606656|213600|615483|2|615007
1,SymMapv1,2,OMIM,226650
2,"SymMapv1,v2",3,OMIM,603902
3,SymMapv1,4,OMIM,116700
4,"SymMapv1,v2",5,OMIM,606812
5,SymMapv1,6,OMIM,615508
6,"SymMapv1,v2",7,OMIM,301040
7,SymMapv1,8,OMIM,604484
8,SymMapv1,9,OMIM,611721
9,SymMapv1,10,OMIM,300622
10,"SymMapv1,v2",11,OMIM,604091
11,"SymMapv1,v2",12,OMIM,231070
12,SymMapv1,13,OMIM,614424|6|612291|616781|616654|610688|617622|615636
13,SymMapv1,14,OMIM,113750
14,"SymMapv1,v2",15,OMIM,613807
15,"SymMapv1,v2",16,OMIM,185500
16,SymMapv1,17,OMIM,209920
17,SymMapv1,18,OMIM,107250
18,SymMapv1,19,OMIM,608681
19,"SymMapv1,v2",20,OMIM,164500
20,"SymMapv1,v2",21,OMIM,601110
21,SymMapv1,22,OMIM,600251
22,"SymMapv1,v2",23,OMIM,616127
23,"SymMapv1,v2",24,OMIM,604364
24,SymMapv1,25,OMIM,616732
25,"SymMapv1,v2",26,OMIM,207900
26,SymMapv1,27,OMIM,220600
27,"SymMapv1,v2",28,OMIM,203700
28,SymMapv1,29,OMIM,614868
29,"SymMapv1,v2",30,OMIM,615625
30,SymMapv1,31,OMIM,603909
31,"SymMapv1,v2",32,OMIM,615991
32,SymMapv1,33,OMIM,609227
33,"SymMapv1,v2",34,OMIM,610125
34,"SymMapv1,v2",35,OMIM,604129
35,"SymMapv1,v2",36,OMIM,243150
36,"SymMapv1,v2",37,OMIM,254800|612437|254800|310370
37,SymMapv1,38,OMIM,615120
38,SymMapv1,39,OMIM,161000
39,"SymMapv1,v2",40,OMIM,615352
40,"SymMapv1,v2",41,OMIM,614654
41,"SymMapv1,v2",42,OMIM,608013
42,"SymMapv1,v2",43,OMIM,612989
43,SymMapv1,44,OMIM,300582
44,SymMapv1,45,OMIM,270420
45,"SymMapv1,v2",46,OMIM,615524
46,SymMapv1,47,OMIM,616501
47,"SymMapv1,v2",48,OMIM,210710
48,SymMapv1,49,OMIM,162000
49,SymMapv1,50,OMIM,616503
50,"SymMapv1,v2",51,OMIM,608931
51,SymMapv1,52,OMIM,122880
52,SymMapv1,53,OMIM,615925
53,SymMapv1,54,OMIM,610629
54,SymMapv1,55,OMIM,250460
55,SymMapv1,56,OMIM,614607
56,"SymMapv1,v2",57,OMIM,609975
57,"SymMapv1,v2",58,OMIM,616198
58,SymMapv1,59,OMIM,140350
59,SymMapv1,60,OMIM,616371
60,"SymMapv1,v2",61,OMIM,605432|605432|616738
61,SymMapv1,62,OMIM,614614
62,"SymMapv1,v2",63,OMIM,601287
63,"SymMapv1,v2",64,OMIM,615851
64,"SymMapv1,v2",65,OMIM,132600
65,"SymMapv1,v2",66,OMIM,614583
66,SymMapv1,67,OMIM,614431
67,SymMapv1,68,OMIM,109730
68,SymMapv1,69,OMIM,178600
69,"SymMapv1,v2",70,OMIM,261540
70,"SymMapv1,v2",71,OMIM,127000
71,"SymMapv1,v2",72,OMIM,263800
72,"SymMapv1,v2",73,OMIM,304800|125800
73,"SymMapv1,v2",74,OMIM,614325
74,SymMapv1,75,OMIM,162400
75,"SymMapv1,v2",76,OMIM,614608|614609|135900|614607|615866
76,SymMapv1,77,OMIM,613244
77,SymMapv1,78,OMIM,264600
78,SymMapv1,79,OMIM,600995
79,"SymMapv1,v2",80,OMIM,139090
80,SymMapv1,81,OMIM,305620
81,"SymMapv1,v2",82,OMIM,200110
82,"SymMapv1,v2",83,OMIM,257200
83,SymMapv1,84,OMIM,300963
84,"SymMapv1,v2",85,OMIM,613955
85,SymMapv1,86,OMIM,219090
86,"SymMapv1,v2",87,OMIM,264350
87,SymMapv1,88,OMIM,608810
88,SymMapv1,89,OMIM,614162
89,SymMapv1,90,OMIM,119100|610685|612576
90,SymMapv1,91,OMIM,616566
91,SymMapv1,92,OMIM,605676|605676|615821
92,"SymMapv1,v2",93,OMIM,610921
93,"SymMapv1,v2",94,OMIM,613488
94,SymMapv1,95,OMIM,104530
95,"SymMapv1,v2",96,OMIM,614643
96,SymMapv1,97,OMIM,172870
97,"SymMapv1,v2",98,OMIM,615982
98,SymMapv1,99,OMIM,607487
99,"SymMapv1,v2",100,OMIM,612376
100,SymMapv1,101,OMIM,614934
101,"SymMapv1,v2",102,OMIM,300534
102,"SymMapv1,v2",103,OMIM,616118
103,"SymMapv1,v2",104,OMIM,243150
104,SymMapv1,105,OMIM,615605
105,SymMapv1,106,Orphanet,314652
106,"SymMapv1,v2",107,OMIM,610798
107,SymMapv1,108,OMIM,614226
108,SymMapv1,109,OMIM,614416
109,SymMapv1,110,OMIM,614929
110,"SymMapv1,v2",111,OMIM,214110
111,SymMapv1,112,OMIM,613382
112,"SymMapv1,v2",113,OMIM,601680|616266|601680
113,SymMapv1,114,OMIM,609549|615972|600165|611897
114,SymMapv1,115,OMIM,614915
115,"SymMapv1,v2",116,OMIM,133239
116,SymMapv1,117,Orphanet,276280
117,SymMapv1,118,OMIM,613646
118,SymMapv1,119,OMIM,613949
119,SymMapv1,120,OMIM,604356
120,"SymMapv1,v2",121,OMIM,611087
121,"SymMapv1,v2",122,OMIM,614727
122,SymMapv1,123,OMIM,616784
123,"SymMapv1,v2",124,OMIM,606835
124,"SymMapv1,v2",125,OMIM,204690
125,"SymMapv1,v2",126,OMIM,616045
126,"SymMapv1,v2",127,OMIM,210600
127,"SymMapv1,v2",128,OMIM,614322
128,SymMapv1,129,OMIM,225300
129,SymMapv1,130,OMIM,616494
130,"SymMapv1,v2",131,OMIM,217090
131,SymMapv1,132,OMIM,606889
132,"SymMapv1,v2",133,OMIM,615191
133,SymMapv1,134,OMIM,613980
134,"SymMapv1,v2",135,OMIM,612938
135,"SymMapv1,v2",136,OMIM,600649
136,SymMapv1,137,OMIM,614963
137,SymMapv1,138,OMIM,607346
138,"SymMapv1,v2",139,OMIM,185000
139,"SymMapv1,v2",140,OMIM,608971
140,"SymMapv1,v2",141,OMIM,218340
141,"SymMapv1,v2",142,OMIM,204870
142,SymMapv1,143,OMIM,180550
143,"SymMapv1,v2",144,OMIM,616028
144,"SymMapv1,v2",145,OMIM,616260
145,SymMapv1,146,OMIM,113500
146,SymMapv1,147,OMIM,148350
147,SymMapv1,148,OMIM,300835
148,SymMapv1,149,OMIM,607864
149,"SymMapv1,v2",150,OMIM,605808
150,SymMapv1,151,OMIM,613116
151,SymMapv1,152,OMIM,616433
152,SymMapv1,153,OMIM,614475
153,SymMapv1,154,OMIM,610743
154,SymMapv1,155,OMIM,271150
155,"SymMapv1,v2",156,OMIM,236700
156,SymMapv1,157,OMIM,120430
157,SymMapv1,158,OMIM,613695
158,SymMapv1,159,OMIM,613093
159,"SymMapv1,v2",160,OMIM,251880
160,SymMapv1,161,OMIM,174700
161,"SymMapv1,v2",162,OMIM,602501
162,"SymMapv1,v2",163,OMIM,206200
163,SymMapv1,164,OMIM,302960
164,SymMapv1,165,OMIM,157600
165,SymMapv1,166,OMIM,613724
166,"SymMapv1,v2",167,OMIM,277700
167,"SymMapv1,v2",168,OMIM,210720
168,SymMapv1,169,OMIM,240300
169,SymMapv1,170,OMIM,609129
170,"SymMapv1,v2",171,OMIM,601678
171,SymMapv1,172,OMIM,211980
172,"SymMapv1,v2",173,OMIM,605407
173,SymMapv1,174,OMIM,612567
174,"SymMapv1,v2",175,OMIM,218000
175,SymMapv1,176,OMIM,159000
176,"SymMapv1,v2",177,OMIM,604536
177,"SymMapv1,v2",178,OMIM,606661|606660|155720
178,SymMapv1,179,OMIM,614617
179,SymMapv1,180,OMIM,162091
180,SymMapv1,181,OMIM,607677
181,"SymMapv1,v2",182,OMIM,219730
182,"SymMapv1,v2",183,OMIM,142680
183,SymMapv1,184,OMIM,166700
184,"SymMapv1,v2",185,OMIM,182000
185,"SymMapv1,v2",186,OMIM,613677
186,"SymMapv1,v2",187,OMIM,300706
187,"SymMapv1,v2",188,OMIM,230800
188,"SymMapv1,v2",189,OMIM,614097
189,SymMapv1,190,OMIM,184460
190,"SymMapv1,v2",191,OMIM,300952
191,"SymMapv1,v2",192,OMIM,602541
192,SymMapv1,193,OMIM,616944
193,SymMapv1,194,OMIM,251120
194,SymMapv1,195,OMIM,613307
195,"SymMapv1,v2",196,OMIM,253700
196,SymMapv1,197,OMIM,616636
197,"SymMapv1,v2",198,OMIM,615516
198,"SymMapv1,v2",199,Orphanet,77301
199,SymMapv1,200,OMIM,610852
200,"SymMapv1,v2",201,OMIM,615948
201,"SymMapv1,v2",202,OMIM,231000
202,"SymMapv1,v2",203,OMIM,211750
203,"SymMapv1,v2",204,OMIM,166350
204,"SymMapv1,v2",205,OMIM,187300|187300|601101|610655|600376|615506|6
205,"SymMapv1,v2",206,OMIM,614424
206,"SymMapv1,v2",207,OMIM,615619
207,SymMapv1,208,OMIM,121850
208,SymMapv1,209,OMIM,615349
209,SymMapv1,210,OMIM,613862
210,"SymMapv1,v2",211,OMIM,613093|300085|304030|602093|180020
211,SymMapv1,212,OMIM,600881
212,"SymMapv1,v2",213,OMIM,601680|616266|601680
213,SymMapv1,214,OMIM,270800
214,SymMapv1,215,OMIM,613575
215,"SymMapv1,v2",216,OMIM,616540
216,"SymMapv1,v2",217,OMIM,300559
217,SymMapv1,218,OMIM,125500
218,"SymMapv1,v2",219,OMIM,129490
219,"SymMapv1,v2",220,OMIM,248370
220,"SymMapv1,v2",221,OMIM,615193
221,SymMapv1,222,OMIM,613094
222,SymMapv1,223,OMIM,615135
223,SymMapv1,224,OMIM,604454
224,"SymMapv1,v2",225,OMIM,146510
225,"SymMapv1,v2",226,OMIM,612004
226,SymMapv1,227,OMIM,300636
227,SymMapv1,228,OMIM,613345
228,"SymMapv1,v2",229,OMIM,300166
229,SymMapv1,230,OMIM,608758
230,SymMapv1,231,OMIM,224500
231,"SymMapv1,v2",232,OMIM,241410
232,"SymMapv1,v2",233,OMIM,607624
233,"SymMapv1,v2",234,OMIM,236200
234,SymMapv1,235,OMIM,602400
235,"SymMapv1,v2",236,OMIM,278000
236,SymMapv1,237,OMIM,273395
237,"SymMapv1,v2",238,OMIM,613680
238,"SymMapv1,v2",239,OMIM,271245
239,SymMapv1,240,OMIM,613869
240,SymMapv1,241,OMIM,612847
241,"SymMapv1,v2",242,OMIM,600630
242,SymMapv1,243,OMIM,276904
243,"SymMapv1,v2",244,OMIM,603585
244,SymMapv1,245,OMIM,613884
245,"SymMapv1,v2",246,OMIM,145500
246,SymMapv1,247,Orphanet,99971
247,"SymMapv1,v2",248,OMIM,614171
248,"SymMapv1,v2",249,OMIM,203500
249,"SymMapv1,v2",250,OMIM,608804
250,"SymMapv1,v2",251,OMIM,248510
251,SymMapv1,252,OMIM,613759
252,"SymMapv1,v2",253,OMIM,616249
253,"SymMapv1,v2",254,OMIM,162100
254,SymMapv1,255,OMIM,260300
255,SymMapv1,256,OMIM,117210
256,SymMapv1,257,OMIM,615528
257,"SymMapv1,v2",258,OMIM,612126
258,"SymMapv1,v2",259,OMIM,150800
259,"SymMapv1,v2",260,OMIM,614569
260,SymMapv1,261,OMIM,158350
261,SymMapv1,262,OMIM,616719
262,SymMapv1,263,OMIM,101000
263,SymMapv1,264,OMIM,606392
264,"SymMapv1,v2",265,OMIM,216900
265,"SymMapv1,v2",266,OMIM,212138
266,SymMapv1,267,OMIM,108145
267,SymMapv1,268,OMIM,615422
268,"SymMapv1,v2",269,OMIM,236270
269,SymMapv1,270,OMIM,616026
270,SymMapv1,271,OMIM,160120
271,"SymMapv1,v2",272,OMIM,613843
272,"SymMapv1,v2",273,OMIM,614331|613244|120435|614350|609310
273,"SymMapv1,v2",274,OMIM,605670
274,SymMapv1,275,OMIM,610017
275,"SymMapv1,v2",276,OMIM,231670
276,SymMapv1,277,OMIM,144250
277,"SymMapv1,v2",278,OMIM,236270
278,"SymMapv1,v2",279,OMIM,312870
279,"SymMapv1,v2",280,OMIM,617610
280,"SymMapv1,v2",281,OMIM,193520
281,SymMapv1,282,OMIM,607631
282,"SymMapv1,v2",283,OMIM,243310
283,"SymMapv1,v2",284,OMIM,614845
284,"SymMapv1,v2",285,OMIM,615073
285,"SymMapv1,v2",286,OMIM,311300
286,"SymMapv1,v2",287,OMIM,206900
287,SymMapv1,288,OMIM,609706
288,"SymMapv1,v2",289,OMIM,170400
289,SymMapv1,290,OMIM,600001
290,"SymMapv1,v2",291,OMIM,308205
291,"SymMapv1,v2",292,OMIM,609352
292,"SymMapv1,v2",293,OMIM,602032
293,"SymMapv1,v2",294,OMIM,252160
294,"SymMapv1,v2",295,OMIM,207410
295,SymMapv1,296,OMIM,314390
296,"SymMapv1,v2",297,OMIM,614922
297,"SymMapv1,v2",298,OMIM,147480
298,"SymMapv1,v2",299,OMIM,606243
299,"SymMapv1,v2",300,Orphanet,1848
300,SymMapv1,301,OMIM,601707
301,"SymMapv1,v2",302,OMIM,616140
302,"SymMapv1,v2",303,OMIM,154700
303,"SymMapv1,v2",304,OMIM,247100
304,SymMapv1,305,OMIM,613881
305,"SymMapv1,v2",306,OMIM,605375
306,"SymMapv1,v2",307,OMIM,612621
307,SymMapv1,308,OMIM,600858
308,"SymMapv1,v2",309,OMIM,615597
309,SymMapv1,310,OMIM,609057
310,SymMapv1,311,OMIM,278150
311,SymMapv1,312,OMIM,616362
312,"SymMapv1,v2",313,OMIM,613406
313,"SymMapv1,v2",314,OMIM,300472
314,SymMapv1,315,OMIM,208530
315,"SymMapv1,v2",316,OMIM,224690
316,SymMapv1,317,OMIM,616625
317,"SymMapv1,v2",318,OMIM,187601
318,SymMapv1,319,OMIM,603786
319,"SymMapv1,v2",320,OMIM,194072
320,SymMapv1,321,OMIM,609254
321,"SymMapv1,v2",322,OMIM,187500
322,"SymMapv1,v2",323,OMIM,122860|218300
323,"SymMapv1,v2",324,OMIM,177000
324,SymMapv1,325,OMIM,614841|147950|308700|614837|610628|615266|614839|6|614858|244200
325,"SymMapv1,v2",326,OMIM,614129
326,"SymMapv1,v2",327,OMIM,266265
327,SymMapv1,328,OMIM,182170
328,SymMapv1,329,OMIM,613660
329,"SymMapv1,v2",330,OMIM,613255
330,SymMapv1,331,OMIM,214400
331,SymMapv1,332,OMIM,608641
332,"SymMapv1,v2",333,OMIM,309400
333,"SymMapv1,v2",334,OMIM,614916
334,SymMapv1,335,OMIM,613265
335,"SymMapv1,v2",336,OMIM,305600
336,"SymMapv1,v2",337,OMIM,101800|614613
337,"SymMapv1,v2",338,OMIM,213200
338,SymMapv1,339,OMIM,615491
339,"SymMapv1,v2",340,OMIM,613489
340,"SymMapv1,v2",341,OMIM,230900
341,"SymMapv1,v2",342,OMIM,611225
342,SymMapv1,343,OMIM,616172
343,SymMapv1,344,OMIM,307000
344,"SymMapv1,v2",345,OMIM,200990
345,"SymMapv1,v2",346,OMIM,275900
346,"SymMapv1,v2",347,OMIM,615395
347,SymMapv1,348,OMIM,609322
348,SymMapv1,349,OMIM,614869
349,SymMapv1,350,OMIM,184253
